"","Council","serv2a","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"158","Scottish Borders","Not used in the past year","9.1","16.7","34.8","28.2","26.7","35.9","31.2","29.8","20.2","22.9","26.1","19.7","28.2"
"159","Scottish Borders","Never used","54","44.7","32.4","39.1","33.3","27.6","35.8","34","43","43.5","37.4","54.1","42.2"
"160","Scottish Borders","Don't know","0.3","0.4","-","1.3","-","-","0.5","-","0.3","0.7","0.2","0.2","0.4"
"161","Scottish Borders","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"162","Scottish Borders","Base","420","400","230","240","250","250","220","230","220","230","240","300","230"
"163","Shetland Islands","Have used in the past year","55.5","57.5","49.3","52.8","56.6","57.9","56.8","57.1","60.1","52.8","59.5","47.7","51.1"
"164","Shetland Islands","Not used in the past year","10.9","14.1","16.7","14.3","17.6","18.1","16.2","17.7","23.4","24.3","14.9","26.6","9.1"
"165","Shetland Islands","Never used","32.5","27.8","34","33","25.2","24","27","25.2","16.5","22.7","25.6","25.8","39.8"
"166","Shetland Islands","Don't know","1.2","0.6","-","-","0.6","-","-","-","-","0.3","-","-","-"
"167","Shetland Islands","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"168","Shetland Islands","Base","300","300","170","280","260","260","230","260","250","230","220","330","260"
"169","South Ayrshire","Have used in the past year","36.7","38.1","35.3","34.5","35.2","34.2","39.5","33.3","37","34.2","32.7","24.3","31"
"170","South Ayrshire","Not used in the past year","21.9","27.2","17.1","17.7","29.5","24.3","12.7","19.8","7.6","20.8","13.7","22","24.5"
"171","South Ayrshire","Never used","41","34.6","46.9","47.8","35.3","41.4","47.8","46.9","55.4","45","53.6","52.4","44.3"
"172","South Ayrshire","Don't know","0.4","0.1","0.7","-","-","-","-","-","-","-","-","1.3","0.2"
"173","South Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"174","South Ayrshire","Base","410","400","210","250","250","250","270","250","260","220","260","170","220"
"175","South Lanarkshire","Have used in the past year","42","37","42.9","42.8","37.6","44.2","38","33.6","33.5","41.3","35.2","30","35.8"
"176","South Lanarkshire","Not used in the past year","14.8","13.7","23","24.5","25.4","28.2","28","32.6","32.1","28.5","28.6","42.2","39.6"
"177","South Lanarkshire","Never used","42.7","48.9","33.1","32.8","36.8","27.2","33.7","33.8","34.3","29.6","36.2","26.9","24.6"
"178","South Lanarkshire","Don't know","0.6","0.4","1","-","0.2","0.3","0.3","-","0.1","0.6","-","0.9","-"
"179","South Lanarkshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"180","South Lanarkshire","Base","900","910","490","420","420","410","390","400","430","380","420","410","460"
"181","Stirling","Have used in the past year","32.4","32","39.6","35.4","37","34.1","36.4","24.4","34.4","30.3","21","26.5","40.1"
"182","Stirling","Not used in the past year","32","35.1","38.7","27.8","31.2","41.3","26.5","33.2","22.2","42.4","39.5","32.9","38.6"
"183","Stirling","Never used","35.5","32.8","21.8","36.7","31.9","24.1","37.1","40.7","43","27.2","39.2","40.6","20.2"
"184","Stirling","Don't know","0.1","0.1","-","-","-","0.5","-","1.6","0.4","-","0.4","-","1.2"
"185","Stirling","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"186","Stirling","Base","400","390","210","250","240","250","240","260","280","230","210","230","230"
"187","West Dunbartonshire","Have used in the past year","41.7","41","38.5","43.4","39","35.3","32.4","33.1","39","30.7","40.5","32.8","31"
"188","West Dunbartonshire","Not used in the past year","25.1","25.8","31.7","23.8","30.4","22.5","23","26.9","32.6","33.5","22.4","16.4","14.1"
"189","West Dunbartonshire","Never used","32.3","33","28.7","32.3","30.3","41.6","44.1","39.9","28","35.8","37","50.3","54.9"
"190","West Dunbartonshire","Don't know","0.9","0.2","1.1","0.5","0.3","0.6","0.5","0.2","0.4","-","-","0.5","-"
"191","West Dunbartonshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"192","West Dunbartonshire","Base","390","320","180","260","270","280","240","290","250","230","240","200","230"
"193","West Lothian","Have used in the past year","42","40","35.7","37.9","43.6","43.8","36.9","40.8","47.7","58.3","37.1","24.5","32.6"
"194","West Lothian","Not used in the past year","17.8","15.8","19.8","19.6","24.6","13","38.2","40.2","32.8","20.7","32.5","44","60"
"195","West Lothian","Never used","39.3","41.7","44.5","41.1","31.8","43","24.9","18.9","18.3","21.1","29.9","31.5","7.4"
"196","West Lothian","Don't know","0.9","2.6","-","1.3","-","0.2","-","-","1.1","-","0.5","-","-"
"197","West Lothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"198","West Lothian","Base","430","440","270","250","250","200","220","240","280","240","230","200","230"
