"","Council","","2013","2014","2015","2016","2017","2019","2023"
"194","Renfrewshire","Once a week","11.8","13.1","12","8.3","16.8","9.1","17.6"
"195","Renfrewshire","Once a month","14.3","13","16.3","17.7","14.4","18.9","12.9"
"196","Renfrewshire","Less often","7.6","21.7","16.1","16","16.1","16.6","10.6"
"197","Renfrewshire","Not at all","33.5","27.1","32.1","31.2","27.4","30.5","19"
"198","Renfrewshire","Don't know","-","0.2","-","-","-","1.2","0.3"
"199","Renfrewshire","All","100","100","100","100","100","100","100"
"200","Renfrewshire","Base","260","240","280","260","220","240","270"
"201","Scotland","Every day / Several times a week","36.1","37.3","35.9","36","36.8","36","44"
"202","Scotland","Once a week","12.9","12.5","13.7","12.8","12.6","12.5","12.6"
"203","Scotland","Once a month","15.1","15.2","15.2","16.4","15.8","16.2","13.9"
"204","Scotland","Less often","12","10.9","11.8","11.4","11.5","13.6","10.6"
"205","Scotland","Not at all","23.7","24","23.3","23.3","23.1","21.5","18.6"
"206","Scotland","Don't know","0.1","0.2","0.1","0.1","0.1","0.2","0.2"
"207","Scotland","All","100","100","100","100","100","100","100"
"208","Scotland","Base","9760","9650","9300","9490","9660","9580","9560"
"209","Scottish Borders","Every day / Several times a week","49.2","51.7","46.7","49.6","39.7","55.5","62.9"
"210","Scottish Borders","Once a week","14.5","14.1","11.4","13.7","14.2","13.1","7"
"211","Scottish Borders","Once a month","13","11.1","16.7","13.1","9.1","11.2","10.5"
"212","Scottish Borders","Less often","8.7","9.9","9.7","8.5","10","8","12"
"213","Scottish Borders","Not at all","14.4","12.8","15.6","14.4","26.7","12.2","7.2"
"214","Scottish Borders","Don't know","0.2","0.4","-","0.6","0.2","-","0.3"
"215","Scottish Borders","All","100","100","100","100","100","100","100"
"216","Scottish Borders","Base","250","250","210","230","210","240","220"
"217","Shetland Islands","Every day / Several times a week","45.2","46","48.4","51.7","58.9","51.9","68"
"218","Shetland Islands","Once a week","16.6","12.3","5.3","10.7","11.5","16.4","8.3"
"219","Shetland Islands","Once a month","11.7","11","11.6","15.1","11.6","12.2","7.6"
"220","Shetland Islands","Less often","12.7","11","13.6","9.3","4.5","9.6","7.4"
"221","Shetland Islands","Not at all","13.3","19.6","21.1","13.1","13.1","9.9","8.8"
"222","Shetland Islands","Don't know","0.5","0.2","-","0.2","0.5","-","-"
"223","Shetland Islands","All","100","100","100","100","100","100","100"
"224","Shetland Islands","Base","260","260","230","260","250","210","250"
"225","South Ayrshire","Every day / Several times a week","40.4","46.3","45.3","44.4","41.1","41.3","54.2"
"226","South Ayrshire","Once a week","9","11.8","12.7","10.2","16.2","12.9","13.1"
"227","South Ayrshire","Once a month","16.1","7.6","12.7","13.3","8.3","15.4","6.7"
"228","South Ayrshire","Less often","9.7","9.7","6.9","7.5","6.8","10.9","8.3"
"229","South Ayrshire","Not at all","24.9","24.5","21.9","24.7","27.5","19.5","17.7"
"230","South Ayrshire","Don't know","-","-","0.4","-","-","-","-"
"231","South Ayrshire","All","100","100","100","100","100","100","100"
"232","South Ayrshire","Base","250","250","270","250","260","250","210"
"233","South Lanarkshire","Every day / Several times a week","29.2","29.8","29.1","28.5","23.3","29.9","39.5"
"234","South Lanarkshire","Once a week","13","10.2","11","9.6","13","8.4","11.7"
"235","South Lanarkshire","Once a month","12.8","15","12.6","19.1","16.8","15.4","13.9"
"236","South Lanarkshire","Less often","10.9","10.6","14.9","16.3","12.9","15.4","12.9"
"237","South Lanarkshire","Not at all","33.6","34","32.1","26.1","33.6","30.3","21.6"
"238","South Lanarkshire","Don't know","0.5","0.4","0.3","0.4","0.3","0.6","0.4"
"239","South Lanarkshire","All","100","100","100","100","100","100","100"
"240","South Lanarkshire","Base","410","400","380","390","420","410","450"
"241","Stirling","Every day / Several times a week","46.2","60","48.1","38.9","41.2","54","59.5"
"242","Stirling","Once a week","18.1","14.5","13.7","12.2","8.3","12.2","15.5"
"243","Stirling","Once a month","14.4","11.4","14.6","14.4","11.5","13.1","8.9"
"244","Stirling","Less often","14.5","6.2","9.9","2.5","6.7","12.8","5.3"
"245","Stirling","Not at all","6.5","7.5","13.4","30.7","32.4","8","10.2"
"246","Stirling","Don't know","0.3","0.4","0.3","1.4","-","-","0.6"
"247","Stirling","All","100","100","100","100","100","100","100"
"248","Stirling","Base","240","250","240","260","280","210","230"
"249","West Dunbartonshire","Every day / Several times a week","24.8","24.7","30.5","20.6","26.4","26.1","37.1"
"250","West Dunbartonshire","Once a week","15.7","7.7","5.9","11.4","12.2","11.6","12.1"
"251","West Dunbartonshire","Once a month","14.9","17.4","15.6","16.2","15.8","14.6","13.8"
"252","West Dunbartonshire","Less often","12.6","11.7","10.6","11.3","11.5","17.2","9.5"
"253","West Dunbartonshire","Not at all","31.8","38.3","37.4","40.1","34.1","30.4","27.5"
"254","West Dunbartonshire","Don't know","0.4","0.2","-","0.4","-","0.2","-"
"255","West Dunbartonshire","All","100","100","100","100","100","100","100"
"256","West Dunbartonshire","Base","250","270","230","270","240","220","220"
"257","West Lothian","Every day / Several times a week","37.2","28","29.8","28.7","34.4","35.6","39.2"
"258","West Lothian","Once a week","11.9","11.6","21.8","23.5","14.5","11","16.9"
"259","West Lothian","Once a month","17.6","20.7","22.2","22.3","21.2","18.5","13.5"
"260","West Lothian","Less often","10.1","11.3","10.2","7.5","9.6","18.6","14.7"
"261","West Lothian","Not at all","22.6","26.4","16","17.9","20.3","16.1","15.7"
"262","West Lothian","Don't know","0.6","2.2","-","-","-","0.2","-"
"263","West Lothian","All","100","100","100","100","100","100","100"
"264","West Lothian","Base","250","190","220","240","280","230","230"
