"","Council","Satisfaction","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"153","Scotland","Very/fairly dissatisfied","8.6","7.9","7.5","5.4","5.6","5.1","5.4","5.1","5.3","6.5","6.9","6.6","6.8"
"154","Scotland","No opinion","31.1","34.9","32.6","35.9","32.5","31.2","30.2","31.2","28.7","33.2","37.1","35.9","33.8"
"155","Scotland","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"156","Scotland","Base","19470","18730","9660","9890","9920","9800","9410","9640","9810","9700","9780","9640","9750"
"157","Scottish Borders","Very/fairly satisfied","48.8","51.2","48.1","50.3","52.4","47.1","47.8","45.5","41.9","46.1","42.7","33.9","32.9"
"158","Scottish Borders","Neither satisfied nor dissatisfied","13.1","11.4","18.6","10.3","16.4","28.2","23.9","26.4","26.4","18.7","24.5","39.5","20.9"
"159","Scottish Borders","Very/fairly dissatisfied","7.7","3.9","4.6","4.7","5.8","4.9","7","5.2","5.4","6.2","9.1","2.8","4.8"
"160","Scottish Borders","No opinion","30.5","33.5","28.8","34.7","25.4","19.7","21.4","22.9","26.3","29","23.7","23.8","41.4"
"161","Scottish Borders","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"162","Scottish Borders","Base","420","400","230","240","250","250","220","230","220","230","240","300","230"
"163","Shetland Islands","Very/fairly satisfied","80.5","88.8","89","87.3","85.9","88.7","86.7","81.5","83","75.1","85.1","85.2","65.9"
"164","Shetland Islands","Neither satisfied nor dissatisfied","4.9","2.9","0.9","0.9","4.2","3.3","7.3","9.1","6","7.4","2.8","4.5","16.5"
"165","Shetland Islands","Very/fairly dissatisfied","0.9","0.1","-","1.3","2.5","2.2","2","1","1.2","3.7","2.5","0.2","2"
"166","Shetland Islands","No opinion","13.7","8.2","10.1","10.5","7.4","5.8","4.1","8.4","9.8","13.8","9.5","10.2","15.6"
"167","Shetland Islands","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"168","Shetland Islands","Base","300","300","170","280","260","260","230","260","250","230","220","330","260"
"169","South Ayrshire","Very/fairly satisfied","46.5","42.9","45.6","38.1","38.3","35.1","40.9","38.3","40.5","35.2","31.5","32","39.1"
"170","South Ayrshire","Neither satisfied nor dissatisfied","11.9","9.2","11","10.5","8.1","5","3.7","7.1","6.2","10.2","4.9","9","15.7"
"171","South Ayrshire","Very/fairly dissatisfied","6.4","14.5","10.4","6.7","6.7","5.9","6.5","3","2.8","4","5.6","4.2","8.4"
"172","South Ayrshire","No opinion","35.2","33.4","33","44.6","46.9","53.9","48.8","51.6","50.4","50.6","58","54.8","36.8"
"173","South Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"174","South Ayrshire","Base","410","400","210","250","250","250","270","250","260","220","260","170","220"
"175","South Lanarkshire","Very/fairly satisfied","51.6","53.2","57.1","57.7","60.9","62.1","54.6","57.3","48.3","51","43","52.5","44.5"
"176","South Lanarkshire","Neither satisfied nor dissatisfied","10.2","6.5","9.7","11.7","15.8","11.6","20.2","19.6","20.3","8.2","16.2","13","13"
"177","South Lanarkshire","Very/fairly dissatisfied","9.1","9.8","7.2","4.1","4.4","4.8","4.9","5.4","6.5","11.8","6.8","9.5","17"
"178","South Lanarkshire","No opinion","29.1","30.4","25.9","26.4","18.8","21.5","20.3","17.7","24.9","29","34","24.9","25.5"
"179","South Lanarkshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"180","South Lanarkshire","Base","900","910","490","420","420","410","390","400","430","380","420","410","460"
"181","Stirling","Very/fairly satisfied","32.5","36.7","46.2","54","54.6","48","42.9","25.4","35.4","33.8","31.6","44.1","52.6"
"182","Stirling","Neither satisfied nor dissatisfied","4.8","6.5","1.9","3.1","2.7","3.7","2.6","6.7","3.8","4.3","11.9","8.4","5.8"
"183","Stirling","Very/fairly dissatisfied","14.9","7.2","5","3.4","3.7","3.1","4.1","2.6","1.9","4.6","4.2","4","3.7"
"184","Stirling","No opinion","47.8","49.6","46.9","39.5","39","45.2","50.4","65.4","58.8","57.2","52.3","43.5","37.8"
"185","Stirling","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"186","Stirling","Base","400","390","210","250","240","250","240","260","280","230","210","230","230"
"187","West Dunbartonshire","Very/fairly satisfied","55","47.5","44.9","40.8","45.4","36.5","37.5","33.3","36.1","28.8","41.8","42.5","30.7"
"188","West Dunbartonshire","Neither satisfied nor dissatisfied","8.6","3.8","3.8","11.5","6.8","4.5","7.6","2.4","3.2","3","5.7","5.2","4.5"
"189","West Dunbartonshire","Very/fairly dissatisfied","10.1","10.2","16.1","10.9","13.3","8.1","7.5","7.5","10.2","7.5","4.9","3.4","8.7"
"190","West Dunbartonshire","No opinion","26.4","38.4","35.2","36.8","34.5","50.9","47.4","56.8","50.5","60.7","47.6","48.8","56.2"
"191","West Dunbartonshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"192","West Dunbartonshire","Base","390","320","180","260","270","280","240","290","250","230","240","200","230"
"193","West Lothian","Very/fairly satisfied","55.2","55.2","55.2","61.3","61.4","60","67.4","63.6","70.5","55.2","48.5","36.9","36"
"194","West Lothian","Neither satisfied nor dissatisfied","8.7","7.3","8.9","5.3","9.3","6","15.9","17","9.5","14.1","15","14.6","25.1"
"195","West Lothian","Very/fairly dissatisfied","6.5","6.5","6.7","5.3","4.2","2.5","3.2","2.8","3.3","9","2.5","2.5","6.7"
"196","West Lothian","No opinion","29.6","31","29.3","28.2","25","31.5","13.5","16.5","16.7","21.7","34","45.9","32.1"
"197","West Lothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"198","West Lothian","Base","430","440","270","250","250","200","220","240","280","240","230","200","230"
